config,n_vlinks,scheme,cell_size,voq_dur_spec,voq_length,voq_dur,bw,jitdef,delays_max,delays_mean,jitters_max,jitters_mean,time,rate,size_factor,smax_max,smax_mean,bw_min,bw_max,bw_mean,bw_var,bw_min_orig,bw_max_orig,bw_mean_orig,bw_var_orig,error,times_calc,topology,config_id,config_dir
"2s4e2L_final_vls_1",100,voqa,256,16.0,782,16.01536,0.01,0,66586.0,55264.66666666668,66489.0,55184.06666666666,0.011498333333333333,12500,0.06580029610133246,99,70.44,0.003149,0.009947,0.005936,0.002254,0.048128,0.151975,0.090752,0.034429,"",3,"2s4e2L",1,"exp-msggen1"
"2s4e2L_final_vls_2",100,voqa,256,16.0,782,16.01536,0.01,0,66607.0,55992.615,66510.0,55910.92333333333,0.012190333333333333,12500,0.06940155043063663,105,73.72,0.003631,0.009929,0.006109,0.002286,0.052638,0.144089,0.088595,0.033166,"",3,"2s4e2L",2,"exp-msggen1"
"2s4e2L_final_vls_3",100,voqa,256,16.0,782,16.01536,0.01,0,66606.0,54973.60666666667,66509.0,54893.40333333334,0.008179,12500,0.06819096196990052,100,71.18,0.002775,0.00993,0.005703,0.002228,0.040967,0.146647,0.084191,0.032885,"",3,"2s4e2L",3,"exp-msggen1"
"2s4e2L_final_vls_4",100,voqa,256,16.0,782,16.01536,0.01,0,66712.0,53673.98333333333,66615.0,53595.39333333332,0.010001,12500,0.07038981881660637,106,73.39,0.003233,0.009921,0.005695,0.002297,0.046228,0.142066,0.081524,0.032904,"",3,"2s4e2L",4,"exp-msggen1"
"2s4e2L_final_vls_5",100,voqa,256,16.0,782,16.01536,0.01,0,66670.0,56660.23166666667,66572.0,56577.29166666667,0.010766,12500,0.07527739720871413,114,79.15,0.00268,0.009931,0.006214,0.002192,0.03589,0.132842,0.083127,0.029319,"",3,"2s4e2L",5,"exp-msggen1"
"2s4e_final_vls_1",100,voqa,256,16.0,782,16.01536,0.01,0,67079.0,55632.98500000001,66982.0,55552.39833333334,0.016337,12500,0.06580029610133246,99,70.44,0.003766,0.009947,0.007124,0.002067,0.057591,0.151975,0.108902,0.031581,"",3,"2s4e",1,"exp-msggen1"
"2s4e_final_vls_2",100,voqa,256,16.0,782,16.01536,0.01,0,67141.0,56390.81166666667,67044.0,56309.063333333324,0.01668,12500,0.06940155043063663,105,73.72,0.003933,0.009929,0.007331,0.002242,0.057024,0.144089,0.106314,0.032513,"",3,"2s4e",2,"exp-msggen1"
"2s4e_final_vls_3",100,voqa,256,16.0,782,16.01536,0.01,0,67079.0,55306.89666666666,66982.0,55226.65166666666,0.017448333333333333,12500,0.06819096196990052,100,71.18,0.003968,0.00993,0.006843,0.001916,0.058619,0.146647,0.101029,0.028297,"",3,"2s4e",3,"exp-msggen1"
"2s4e_final_vls_4",100,voqa,256,16.0,782,16.01536,0.01,0,67204.0,54008.49499999999,67107.0,53929.875,0.013586333333333334,12500,0.07038981881660637,106,73.39,0.003886,0.009921,0.006834,0.00216,0.055539,0.142066,0.097829,0.030964,"",3,"2s4e",4,"exp-msggen1"
"2s4e_final_vls_5",100,voqa,256,16.0,782,16.01536,0.01,0,67224.0,57072.82499999999,67126.0,56989.885,0.015959,12500,0.07303108202851134,110,76.78,0.002606,0.009942,0.007239,0.002335,0.03589,0.136928,0.099752,0.032176,"",3,"2s4e",5,"exp-msggen1"
"3s12e_final_vls_1",300,voqa,256,16.0,782,16.01536,0.01,0,89307.0,60085.29944444448,89178.66666666667,59999.62833333335,0.032846,12500,0.0575957240934433,87,60.693333333333335,0.002481,0.009914,0.005742,0.002107,0.043434,0.173624,0.100495,0.036879,"",3,"3s12e",1,"exp-msggen1"
"3s12e_final_vls_2",300,voqa,256,16.0,782,16.01536,0.01,0,89490.33333333333,59986.48222222223,89362.66666666667,59901.71111111109,0.02523066666666667,12500,0.054252294872073094,82,55.18,0.00254,0.009916,0.005446,0.002008,0.047234,0.184324,0.101328,0.037362,"",3,"3s12e",2,"exp-msggen1"
"3s12e_final_vls_3",300,voqa,256,16.0,782,16.01536,0.01,0,89269.66666666667,60400.24944444444,89147.33333333333,60314.54611111112,0.02677866666666667,12500,0.05544743306108643,84,57.93333333333333,0.002976,0.009916,0.005646,0.00201,0.054129,0.180351,0.102693,0.036543,"",3,"3s12e",3,"exp-msggen1"
"3s12e_final_vls_4",300,voqa,256,16.0,782,16.01536,0.01,0,89518.0,59934.647777777776,89390.0,59849.90722222224,0.01851533333333333,12500,0.053699636453461215,81,56.196666666666665,0.002284,0.009908,0.005564,0.002065,0.042844,0.186221,0.104532,0.03881,"",3,"3s12e",4,"exp-msggen1"
