config,n_vlinks,scheme,n_fabrics,bw,jitdef,delays_max,delays_mean,jitters_max,jitters_mean,time,rate,size_factor,smax_max,smax_mean,bw_min,bw_max,bw_mean,bw_var,bw_min_orig,bw_max_orig,bw_mean_orig,bw_var_orig,error,times_calc,topology,config_id,config_dir
"2s-4e_final_vls_1",500,cioq,4,0.01,0,950.0,733.0596666666664,947.0,730.8999999999997,0.240264,125000,0.14824258416472716,224,154.026,0.005061,0.009968,0.00785,0.002134,0.034243,0.067457,0.05312,0.014445,"",1,"2s-4e",1,"vlconfigs/msggen1"
"2s-4e_final_vls_2",500,cioq,4,0.01,0,1044.0,790.7226666666668,1042.0,788.6006666666667,0.238055,125000,0.15792549075346252,238,162.572,0.005214,0.009968,0.008046,0.002149,0.033127,0.063321,0.051102,0.013646,"",1,"2s-4e",2,"vlconfigs/msggen1"
"2s-4e_final_vls_3",500,cioq,4,0.01,0,906.0,690.6283333333334,904.0,688.4509999999999,0.313068,125000,0.14185403220086532,215,144.848,0.004654,0.009963,0.007522,0.002061,0.032919,0.070495,0.053216,0.014582,"",1,"2s-4e",3,"vlconfigs/msggen1"
"3s-48e-4L_final_vls_1",500,cioq,4,0.01,0,2731.0,1279.3210000000008,2727.0,1277.0623333333335,0.125289,125000,1.0290183165260343,1557,1055.024,0.000767,0.009994,0.004972,0.002112,0.000746,0.009718,0.004834,0.002053,"",1,"3s-48e-4L",1,"vlconfigs/msggen1"
"3s-48e-4L_final_vls_2",500,cioq,4,0.01,0,1960.0,1145.235666666667,1956.3333333333333,1142.9483333333328,0.129161,125000,0.8991188635137566,1363,930.562,0.001142,0.009995,0.004423,0.001847,0.001271,0.011122,0.004922,0.002055,"",1,"3s-48e-4L",2,"vlconfigs/msggen1"
"3s-48e-4L_final_vls_3",500,cioq,4,0.01,0,2264.0,1260.1113333333335,2260.6666666666665,1257.7996666666663,0.13195,125000,0.9612611746611553,1454,1008.544,0.001061,0.009995,0.004799,0.002084,0.001104,0.010403,0.004995,0.002169,"",1,"3s-48e-4L",3,"vlconfigs/msggen1"
"6s-54e-3L_final_vls_1",500,cioq,4,0.01,0,1662.0,1028.5233333333338,1659.0,1025.961,0.094614,125000,1.1845534233593935,1788,1233.84,0.000817,0.009995,0.003933,0.001921,0.00069,0.008442,0.003322,0.001622,"",1,"6s-54e-3L",1,"vlconfigs/msggen1"
"6s-54e-3L_final_vls_2",500,cioq,4,0.01,0,1801.6666666666667,1032.1229999999998,1798.6666666666667,1029.6276666666663,0.09197,125000,1.272426517368622,1926,1314.098,0.000824,0.009997,0.003906,0.002016,0.000648,0.007859,0.003071,0.001585,"",1,"6s-54e-3L",2,"vlconfigs/msggen1"
"6s-54e-3L_final_vls_3",500,cioq,4,0.01,0,1837.3333333333333,990.0966666666664,1833.3333333333333,987.5576666666669,0.104996,125000,1.1713716762328688,1778,1217.732,0.000313,0.009996,0.003907,0.001905,0.000268,0.008537,0.003337,0.001627,"",1,"6s-54e-3L",3,"vlconfigs/msggen1"
"diamond-48e-4L_final_vls_1",500,cioq,4,0.01,0,1921.3333333333333,1112.8643333333332,1917.6666666666667,1110.501333333333,0.126272,125000,1.0290183165260343,1557,1055.024,0.000767,0.009994,0.004391,0.001842,0.000746,0.009718,0.004269,0.001791,"",1,"diamond-48e-4L",1,"vlconfigs/msggen1"
"diamond-48e-4L_final_vls_2",500,cioq,4,0.01,0,2084.0,1199.560333333333,2081.0,1197.1756666666668,0.116373,125000,1.1149514996097671,1691,1168.8,0.000558,0.009995,0.004744,0.001938,0.000501,0.008969,0.004257,0.001739,"",1,"diamond-48e-4L",2,"vlconfigs/msggen1"
"diamond-48e-4L_final_vls_3",500,cioq,4,0.01,0,1942.6666666666667,1141.9690000000003,1939.3333333333333,1139.5876666666668,0.113999,125000,1.0737678513905293,1629,1105.678,0.001028,0.009996,0.004578,0.001829,0.000958,0.009313,0.004266,0.001704,"",1,"diamond-48e-4L",3,"vlconfigs/msggen1"
"double_reserve_mod-48e-6L_final_vls_1",500,cioq,4,0.01,0,2198.6666666666665,1380.1083333333336,2194.3333333333335,1376.6320000000005,0.167853,125000,1.0290183165260343,1557,1055.024,0.000435,0.009994,0.003569,0.001867,0.000423,0.009718,0.00347,0.001815,"",1,"double_reserve_mod-48e-6L",1,"vlconfigs/msggen1"
"double_reserve_mod-48e-6L_final_vls_2",500,cioq,4,0.01,0,1987.0,1229.2049999999992,1983.0,1225.7913333333338,0.146905,125000,0.962278675904542,1460,1024.094,0.000332,0.009995,0.003419,0.001851,0.000345,0.010392,0.003555,0.001925,"",1,"double_reserve_mod-48e-6L",2,"vlconfigs/msggen1"
"double_reserve_mod-48e-6L_final_vls_3",500,cioq,4,0.01,0,2167.0,1346.3703333333335,2162.0,1342.9929999999997,0.149701,125000,1.0857763300760044,1635,1139.042,8.7e-05,0.009995,0.00364,0.001955,8e-05,0.00921,0.003354,0.001802,"",1,"double_reserve_mod-48e-6L",3,"vlconfigs/msggen1"
"2s-4e_final_vls_1",500,cioq,4,0.01,0,1000.0,750.651666666667,997.0,748.5306666666665,0.232147,125000,0.1699350847976073,256,155.756,0.004337,0.009977,0.007152,0.00212,0.02561,0.058846,0.042201,0.012505,"",1,"2s-4e",1,"vlconfigs/msggen2"
"2s-4e_final_vls_2",500,cioq,4,0.01,0,996.0,771.4906666666668,994.0,769.3016666666664,0.249062,125000,0.17274439012593065,261,154.282,0.002553,0.009976,0.006986,0.002428,0.014827,0.057889,0.040561,0.01409,"",1,"2s-4e",2,"vlconfigs/msggen2"
"2s-4e_final_vls_3",500,cioq,4,0.01,0,1272.0,918.5609999999997,1270.0,916.4256666666662,0.245371,125000,0.21017234131988233,318,190.59,0.004106,0.009973,0.007333,0.002115,0.019588,0.04758,0.034982,0.010088,"",1,"2s-4e",3,"vlconfigs/msggen2"
"3s-48e-4L_final_vls_1",500,cioq,4,0.01,0,1804.0,1045.245,1800.3333333333333,1042.9826666666668,0.130673,125000,0.9458053532582994,1435,863.602,0.000453,0.009994,0.003195,0.002041,0.00048,0.010573,0.00338,0.002159,"",1,"3s-48e-4L",1,"vlconfigs/msggen2"
"3s-48e-4L_final_vls_2",500,cioq,4,0.01,0,1730.3333333333333,1012.8969999999994,1727.3333333333333,1010.6059999999999,0.125516,125000,0.9001710324961743,1359,835.474,0.000565,0.009994,0.003366,0.002201,0.000628,0.011109,0.003741,0.002447,"",1,"3s-48e-4L",2,"vlconfigs/msggen2"
"3s-48e-4L_final_vls_3",500,cioq,4,0.01,0,1157.3333333333333,609.8653333333335,1154.3333333333333,607.6639999999998,0.116118,125000,0.5705808513066302,866,522.37,0.000296,0.009989,0.002149,0.001497,0.000519,0.017526,0.003769,0.002626,"",1,"3s-48e-4L",3,"vlconfigs/msggen2"
"6s-54e-3L_final_vls_1",500,cioq,4,0.01,0,1685.5,1019.2010000000005,1681.0,1016.6420000000005,0.096108,125000,1.3392259274139549,2032,1215.7,0.000201,0.009996,0.002853,0.001982,0.00015,0.007467,0.002131,0.00148,"",1,"6s-54e-3L",1,"vlconfigs/msggen2"
"6s-54e-3L_final_vls_2",500,cioq,4,0.01,0,783.0,485.84066666666666,779.5,483.3116666666666,0.102789,125000,0.6235191420376606,935,575.862,6.4e-05,0.009993,0.001521,0.001333,0.000103,0.016038,0.002442,0.00214,"",1,"6s-54e-3L",2,"vlconfigs/msggen2"
"6s-54e-3L_final_vls_3",499,cioq,4,0.01,0,1268.6666666666667,526.5521042084166,1264.0,524.0143620574484,0.109104,125000,0.6461617989144481,979,603.7054108216433,1.6e-05,0.009996,0.001544,0.001281,2.5e-05,0.015476,0.002391,0.001983,"",1,"6s-54e-3L",3,"vlconfigs/msggen2"
"diamond-48e-4L_final_vls_1",500,cioq,4,0.01,0,1708.3333333333333,905.4943333333331,1704.3333333333333,903.1506666666668,0.126601,125000,0.9458053532582994,1435,863.602,0.000453,0.009994,0.002778,0.001805,0.00048,0.010573,0.002938,0.00191,"",1,"diamond-48e-4L",1,"vlconfigs/msggen2"
"diamond-48e-4L_final_vls_2",499,cioq,4,0.01,0,1252.6666666666667,712.3169672678695,1248.6666666666667,709.9452237808953,0.12369,125000,0.7367025195226168,1115,668.9619238476954,0.000318,0.009992,0.002224,0.001907,0.000432,0.013574,0.003021,0.002591,"",1,"diamond-48e-4L",2,"vlconfigs/msggen2"
"diamond-48e-4L_final_vls_3",500,cioq,4,0.01,0,1174.6666666666667,624.8416666666668,1170.6666666666667,622.4606666666666,0.118652,125000,0.6578514571409776,994,598.918,0.0003,0.009996,0.002254,0.001967,0.000457,0.015201,0.003429,0.002993,"",1,"diamond-48e-4L",3,"vlconfigs/msggen2"
"double_reserve_mod-48e-6L_final_vls_1",500,cioq,4,0.01,0,1736.0,1086.0356666666657,1731.0,1082.629,0.151961,125000,0.9458053532582994,1435,863.602,0.000138,0.009994,0.002213,0.001691,0.000146,0.010573,0.002341,0.001789,"",1,"double_reserve_mod-48e-6L",1,"vlconfigs/msggen2"
"double_reserve_mod-48e-6L_final_vls_2",499,cioq,4,0.01,0,1360.3333333333333,846.5310621242486,1356.0,843.0995323981297,0.144334,125000,0.7511454968827462,1140,691.5130260521042,,0.009992,0.001903,0.001544,,0.013313,0.002535,0.002057,"",1,"double_reserve_mod-48e-6L",2,"vlconfigs/msggen2"
